Data,Modelo,Produto,Loja,Preco_USD,Preco_BRL,Codigo,Link_Produto,Link_Loja
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,iPhone 17 Pro Max 256GB Americano Silver,Star Company,1330.0,6929.3,125369,https://www.comprasparaguai.com.br/iphone-17-pro-max-256gb-americano-silver__5386210/,https://www.starcompany-py.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Apple iPhone 17 Pro Max 256GB MFXG4LL/A Silver Ame,Topdek Informática,1330.0,6929.3,379333,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-256gb-mfxg4lla-silver-ame__5231676/,https://topdekinformatica.com.br/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Apple iPhone 17 Pro Max 256GB MFXJ4LL/A Blue Deep Blue A3257,Topdek Informática,1330.0,6929.3,374058,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-256gb-mfxj4lla-blue-deep-blue-a3257__5206619/,https://topdekinformatica.com.br/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Apple iPhone 17 Pro Max 256GB MFXH4LL/A Orange A3257,Topdek Informática,1330.0,6929.3,375474,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-256gb-mfxh4lla-orange-a3257__5211661/,https://topdekinformatica.com.br/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,"Apple iPhone 17 Pro Max Be/A3526 6.9"" 256GB - Deep Blue",Atlantico Shop,1330.0,6929.3,469845,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-bea3526-69-256gb-deep-blue__5546085/,https://www.atlanticoshop.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Apple iPhone 17 Pro Max 256GB Laranja Esim A3257-LL,Alborada,1330.0,6929.3,0-801692,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-256gb-laranja-esim-a3257-ll__5408651/,http://www.alboradainfo.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Celular iPhone 17 Pro Max 256GB MFXH4LL/A Laranja,WB Shop,1349.0,7028.29,2284,https://www.comprasparaguai.com.br/celular-iphone-17-pro-max-256gb-mfxh4lla-laranja__5129166/,https://wbshop.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Apple iPhone 17 Pro Max 256GB Azul Esim A3257-LL,Alborada,1330.0,6929.3,0-801681,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-256gb-azul-esim-a3257-ll__5408090/,http://www.alboradainfo.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,Apple iPhone 17 Pro Max 256GB Prata Esim A3257-LL,Alborada,1330.0,6929.3,0-801705,https://www.comprasparaguai.com.br/apple-iphone-17-pro-max-256gb-prata-esim-a3257-ll__5408397/,http://www.alboradainfo.com/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,iPhone 17 Pro Max 256GB A3257 LL/A Esim Cosmic Orange,Best Shop Paraguai,1330.0,6929.3,147521,https://www.comprasparaguai.com.br/iphone-17-pro-max-256gb-a3257-lla-esim-cosmic-orange__5019780/,http://www.bestshop.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,iPhone 17 Pro Max 256GB A3525 Ah/A Esim Cosmic Orange,Best Shop Paraguai,1330.0,6929.3,168823,https://www.comprasparaguai.com.br/iphone-17-pro-max-256gb-a3525-aha-esim-cosmic-orange__5542748/,http://www.bestshop.com.py/
2026-09-25 15:52:49,Celular Apple iPhone 17 Pro Max 256GB,iPhone 17 Pro Max 256GB A3526 Be/A Cosmic Orange Sim Fisico + Esim,Best Shop Paraguai,1345.0,7007.45,149556,https://www.comprasparaguai.com.br/iphone-17-pro-max-256gb-a3526-bea-cosmic-orange-sim-fisico-esim__5060971/,http://www.bestshop.com.py/
